time,id_1,id_2,contact_duration
20,1467,1591,20
60,1513,1591,20
200,1591,1467,20
220,1591,1467,20
240,1591,1467,20
260,1591,1467,20
320,1467,1591,20
340,1467,1591,20
360,1467,1591,20
460,1568,1591,20
480,1568,1591,20
500,1568,1591,20
520,1568,1591,20
580,1562,1467,20
680,1524,1562,20
720,1524,1562,20
760,1771,1428,20
900,1583,1510,20
900,1553,1525,20
900,1583,1525,20
900,1510,1525,20
900,1583,1529,20
900,1549,1525,20
900,1519,1529,20
900,1519,1525,20
900,1519,1583,20
900,1544,1525,20
900,1525,1529,20
900,1600,1583,20
900,1600,1525,20
900,1544,1519,20
900,1544,1529,20
900,1600,1519,20
900,1600,1529,20
900,1600,1544,20
900,1600,1523,20
900,1510,1519,20
920,1519,1525,20
920,1519,1583,20
920,1544,1553,20
920,1544,1525,20
920,1544,1549,20
920,1519,1529,20
920,1519,1549,20
920,1549,1525,20
920,1583,1525,20
920,1583,1529,20
920,1553,1523,20
920,1510,1525,20
920,1583,1553,20
920,1553,1525,20
920,1510,1553,20
920,1583,1510,20
920,1549,1583,20
920,1510,1519,20
920,1549,1553,20
920,1510,1549,20
920,1510,1529,20
920,1606,1523,20
920,1600,1510,20
920,1600,1544,20
920,1600,1549,20
920,1600,1529,20
920,1510,1544,20
920,1544,1583,20
920,1600,1519,20
920,1544,1519,20
920,1549,1529,20
920,1519,1553,20
920,1523,1525,20
920,1600,1553,20
920,1600,1525,20
920,1600,1583,20
920,1544,1529,20
940,1544,1525,20
940,1549,1553,20
940,1519,1549,20
940,1519,1583,20
940,1519,1523,20
940,1519,1525,20
940,1519,1529,20
940,1549,1525,20
940,1510,1553,20
940,1583,1529,20
940,1553,1523,20
940,1529,1525,20
940,1510,1525,20
940,1583,1553,20
940,1583,1525,20
940,1553,1525,20
940,1583,1510,20
940,1549,1583,20
940,1544,1549,20
940,1510,1519,20
940,1544,1553,20
940,1600,1510,20
940,1544,1523,20
940,1600,1549,20
940,1600,1529,20
940,1600,1519,20
940,1510,1544,20
940,1544,1583,20
940,1544,1529,20
940,1600,1544,20
940,1549,1529,20
940,1519,1553,20
940,1523,1525,20
940,1600,1553,20
940,1600,1525,20
940,1600,1583,20
940,1510,1549,20
940,1510,1529,20
940,1544,1519,20
960,1549,1523,20
960,1549,1525,20
960,1549,1583,20
960,1583,1529,20
960,1553,1523,20
960,1523,1529,20
960,1553,1525,20
960,1510,1525,20
960,1583,1525,20
960,1510,1553,20
960,1583,1510,20
960,1549,1553,20
960,1529,1525,20
960,1519,1529,20
960,1583,1553,20
960,1519,1523,20
960,1600,1553,20
960,1600,1523,20
960,1600,1525,20
960,1600,1583,20
960,1510,1549,20
960,1510,1529,20
960,1519,1525,20
960,1544,1553,20
960,1544,1523,20
960,1510,1519,20
960,1544,1549,20
960,1544,1525,20
960,1519,1549,20
960,1519,1583,20
980,1510,1525,20
980,1583,1553,20
980,1583,1525,20
980,1553,1525,20
980,1510,1553,20
980,1583,1510,20
1000,1583,1510,20
1000,1510,1553,20
1000,1553,1525,20
1000,1510,1525,20
1000,1583,1553,20
1000,1519,1549,20
1000,1583,1525,20
1020,1622,1529,20
1020,1510,1525,20
1020,1583,1553,20
1020,1583,1525,20
1020,1553,1525,20
1020,1510,1553,20
1020,1583,1510,20
1040,1510,1553,20
1040,1553,1525,20
1040,1583,1510,20
1040,1583,1553,20
1040,1510,1525,20
1040,1583,1525,20
1060,1510,1525,20
1060,1583,1553,20
1060,1583,1525,20
1060,1553,1523,20
1060,1553,1525,20
1060,1510,1553,20
1060,1583,1510,20
1080,1583,1510,20
1080,1510,1553,20
1080,1523,1525,20
1080,1553,1525,20
1080,1583,1523,20
1080,1583,1525,20
1080,1583,1553,20
1080,1510,1525,20
1080,1553,1523,20
1100,1583,1510,20
1100,1525,1599,20
1100,1523,1599,20
1100,1510,1523,20
1100,1583,1523,20
1100,1510,1599,20
1100,1510,1553,20
1100,1513,1560,20
1120,1553,1525,20
1120,1523,1525,20
1120,1513,1560,20
1120,1523,1599,20
1120,1525,1599,20
1120,1510,1523,20
1120,1583,1510,20
1140,1583,1510,20
1140,1510,1523,20
1140,1525,1599,20
1140,1513,1560,20
1140,1523,1599,20
1160,1602,1631,20
1160,1583,1553,20
1160,1525,1599,20
1160,1510,1553,20
1160,1510,1523,20
1160,1583,1523,20
1160,1553,1523,20
1160,1583,1510,20
1180,1523,1525,20
1180,1523,1599,20
1180,1553,1599,20
1180,1553,1525,20
1180,1583,1510,20
1180,1583,1523,20
1180,1510,1523,20
1180,1510,1553,20
1180,1553,1523,20
1200,1583,1510,20
1200,1602,1631,20
1200,1510,1599,20
1200,1583,1599,20
1220,1583,1525,20
1220,1583,1599,20
1220,1599,1525,20
1220,1510,1525,20
1220,1523,1525,20
1220,1573,1519,20
1220,1537,1560,20
1220,1599,1523,20
1220,1583,1510,20
1220,1602,1631,20
1240,1583,1510,20
1240,1573,1519,20
1240,1537,1560,20
1240,1599,1523,20
1260,1583,1510,20
1260,1537,1560,20
1260,1599,1523,20
1280,1602,1631,20
1280,1599,1523,20
1280,1583,1510,20
1300,1583,1599,20
1300,1599,1510,20
1300,1583,1519,20
1300,1602,1631,20
1300,1599,1523,20
1300,1583,1510,20
